Player,PrgDist,Touch Def 3rd,L Pass Cmp%,TklW,Tkl+Int,Blocks,Fld,Clr,SCA90
Fabinho,222.3,13.2,69.6,0.97,3.31,1.28,1.09,0.97,2.06
Casemiro,352.2,24.9,78.8,1.79,4.11,2.28,1.33,2.28,2.24
