Player,Nation,Pos,Squad,Born,Gls,xGp90
Antonee Robinson,us USA,DF,Fulham,1997,0,0
Marc Roca,es ESP,MF,Leeds United,1996,1,0.08
Marek Rodák,sk SVK,GK,Fulham,1996,0,0
Rodri,es ESP,MF,Manchester City,1996,2,0.15
Rodrigo,es ESP,FWMF,Leeds United,1991,11,0.42
Mads Roerslev,dk DEN,DF,Brentford,1999,0,0.03
Cristian Romero,ar ARG,DF,Tottenham,1998,0,0.03
Oriol Romeu,es ESP,MF,Southampton,1991,0,0
Cristiano Ronaldo,pt POR,FW,Manchester Utd,1985,1,0.32
Connor Ronan,ie IRL,MF,Wolves,1998,0,0
Salomón Rondón,ve VEN,FW,Everton,1989,0,0.66
Joe Rothwell,eng ENG,MF,Bournemouth,1995,0,0.02
Georginio Rutter,fr FRA,FWMF,Leeds United,2002,0,0.11
José Sá,pt POR,GK,Wolves,1993,0,0
Marcel Sabitzer,at AUT,MF,Manchester Utd,1994,0,0.11
Allan Saint-Maximin,fr FRA,FW,Newcastle Utd,1997,1,0.13
Bukayo Saka,eng ENG,FW,Arsenal,2001,13,0.33
Mohamed Salah,eg EGY,FW,Liverpool,1992,16,0.53
William Saliba,fr FRA,DF,Arsenal,2001,2,0.03
Mohammed Salisu,gh GHA,DF,Southampton,1999,0,0.07
Albert Sambi Lokonga,be BEL,MF,Arsenal,1999,0,0
Albert Sambi Lokonga,be BEL,MF,Crystal Palace,1999,0,0.03
Davinson Sánchez,co COL,DF,Tottenham,1996,0,0.04
Robert Sánchez,es ESP,GK,Brighton,1997,0,0
Jadon Sancho,eng ENG,FWMF,Manchester Utd,2000,4,0.22
Morgan Sanson,fr FRA,MF,Aston Villa,1994,0,0
Pablo Sarabia,es ESP,FWMF,Wolves,1992,1,0.38
Jeremy Sarmiento,ec ECU,MF,Brighton,2002,0,0.17
Gianluca Scamacca,it ITA,FW,West Ham,1999,3,0.24
Gustavo Scarpa,br BRA,MFFW,Nott'ham Forest,1994,0,0.13
Kevin Schade,de GER,FW,Brentford,2001,0,0.38
Fabian Schär,ch SUI,DF,Newcastle Utd,1991,1,0.13
Jeffrey Schlupp,gh GHA,MFFW,Crystal Palace,1992,2,0.1
Nélson Semedo,pt POR,DF,Wolves,1993,0,0.01
Antoine Semenyo,gh GHA,FWMF,Bournemouth,2000,0,0.07
Marcos Senesi,ar ARG,DF,Bournemouth,1997,2,0.07
Ryan Sessegnon,eng ENG,DF,Tottenham,2000,2,0.18
Luke Shaw,eng ENG,DF,Manchester Utd,1995,1,0.04
Jonjo Shelvey,eng ENG,MF,Newcastle Utd,1992,0,0
Jonjo Shelvey,eng ENG,MF,Nott'ham Forest,1992,0,0.03
Bernardo Silva,pt POR,MFFW,Manchester City,1994,4,0.1
Thiago Silva,br BRA,DF,Chelsea,1984,0,0.06
Ellis Simms,eng ENG,FW,Everton,2001,1,0.36
Luis Sinisterra,co COL,FW,Leeds United,1999,5,0.39
Oliver Skipp,eng ENG,MF,Tottenham,2000,1,0.02
Adam Smith,eng ENG,DF,Bournemouth,1991,0,0.02
Emile Smith Rowe,eng ENG,MFFW,Arsenal,2000,0,0.17
Cédric Soares,pt POR,DF,Arsenal,1991,0,0
Cédric Soares,pt POR,DF,Fulham,1991,0,0.02
Dominic Solanke,eng ENG,FWMF,Bournemouth,1997,5,0.32
Manor Solomon,il ISR,FW,Fulham,1999,4,0.19
Tomáš Souček,cz CZE,MF,West Ham,1995,1,0.12
Boubakary Soumaré,fr FRA,MF,Leicester City,1999,0,0
Harry Souttar,au AUS,DF,Leicester City,1998,0,0.14
Çağlar Söyüncü,tr TUR,DF,Leicester City,1996,0,0.08
Djed Spence,eng ENG,FWDF,Tottenham,2000,0,0.83
Jack Stacey,eng ENG,DF,Bournemouth,1996,0,0.03
Junior Stanislas,eng ENG,MF,Bournemouth,1989,0,0.05
Jay Stansfield,eng ENG,FW,Fulham,2002,0,0.26
Jason Steele,eng ENG,GK,Brighton,1990,0,0
Jack Stephens,eng ENG,DF,Southampton,1994,0,0
Jack Stephens,eng ENG,DF,Bournemouth,1994,0,0.03
Raheem Sterling,eng ENG,FWMF,Chelsea,1994,4,0.27
John Stones,eng ENG,DFMF,Manchester City,1994,2,0.05
Pascal Struijk,nl NED,DF,Leeds United,1999,2,0.06
Kamaldeen Sulemana,gh GHA,FWMF,Southampton,2002,0,0.12
Crysencio Summerville,nl NED,FW,Leeds United,2001,4,0.18
Sam Surridge,eng ENG,FW,Nott'ham Forest,1998,1,0.52
Japhet Tanganga,eng ENG,DF,Tottenham,1999,0,0
Matt Targett,eng ENG,DF,Newcastle Utd,1995,0,0
James Tarkowski,eng ENG,DF,Everton,1992,1,0.08
Marcus Tavernier,eng ENG,MFFW,Bournemouth,1999,4,0.15
Tetê,br BRA,FW,Leicester City,2000,1,0.23
Kenny Tete,nl NED,DF,Fulham,1995,0,0.02
Luke Thomas,eng ENG,DF,Leicester City,2001,0,0.01
Youri Tielemans,be BEL,MF,Leicester City,1997,3,0.11
Kieran Tierney,sct SCO,DF,Arsenal,1997,0,0.04
Harry Toffolo,eng ENG,DF,Nott'ham Forest,1995,0,0.03
Takehiro Tomiyasu,jp JPN,DF,Arsenal,1998,0,0.03
James Tomkins,eng ENG,DF,Crystal Palace,1989,1,0.27
Ivan Toney,eng ENG,FW,Brentford,1996,19,0.61
Adama Traoré,es ESP,FWMF,Wolves,1996,2,0.09
Bertrand Traoré,bf BFA,FW,Aston Villa,1995,2,0.35
Boubacar Traoré,ml MLI,MF,Wolves,2001,0,0.02
Mark Travers,ie IRL,GK,Bournemouth,1999,0,0
Kieran Trippier,eng ENG,DF,Newcastle Utd,1990,1,0.02
Leandro Trossard,be BEL,FW,Arsenal,1994,1,0.2
Leandro Trossard,be BEL,FWMF,Brighton,1994,7,0.3
Kostas Tsimikas,gr GRE,DF,Liverpool,1996,0,0.09
Deniz Undav,de GER,FWMF,Brighton,1996,0,0.73
Yan Valery,tn TUN,DF,Southampton,1999,0,0
Virgil van Dijk,nl NED,DF,Liverpool,1991,3,0.09
Raphaël Varane,fr FRA,DF,Manchester Utd,1993,0,0.04
Jamie Vardy,eng ENG,FW,Leicester City,1987,2,0.19
Joël Veltman,nl NED,DF,Brighton,1992,1,0.08
Fabio Vieira,pt POR,MF,Arsenal,2000,1,0.16
Matías Viña,uy URU,DFMF,Bournemouth,1997,1,0.36
Rúben Vinagre,pt POR,DFMF,Everton,1999,0,0
Carlos Vinícius,br BRA,FW,Fulham,1995,2,0.19
Theo Walcott,eng ENG,FWMF,Southampton,1989,2,0.22
Kyle Walker,eng ENG,DF,Manchester City,1990,0,0.02
Kyle Walker-Peters,eng ENG,DF,Southampton,1997,1,0.04
Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,1997,0,0.09
Danny Ward,wls WAL,GK,Leicester City,1993,0,0
Joel Ward,eng ENG,DF,Crystal Palace,1989,0,0.01
James Ward-Prowse,eng ENG,MF,Southampton,1994,7,0.15
Ollie Watkins,eng ENG,FW,Aston Villa,1995,14,0.46
Adam Webster,eng ENG,DF,Brighton,1995,0,0.08
Wout Weghorst,nl NED,FWMF,Manchester Utd,1992,0,0.19
Danny Welbeck,eng ENG,FW,Brighton,1990,4,0.48
Ben White,eng ENG,DF,Arsenal,1997,2,0.05
Harvey White,eng ENG,MF,Tottenham,2001,0,0
Joseph Whitworth,eng ENG,GK,Crystal Palace,2004,0,0
Neco Williams,wls WAL,DF,Nott'ham Forest,2001,1,0.06
Willian,br BRA,FW,Fulham,1988,3,0.15
Joe Willock,eng ENG,MF,Newcastle Utd,1999,3,0.26
Callum Wilson,eng ENG,FW,Newcastle Utd,1992,11,0.68
Harry Wilson,wls WAL,FW,Fulham,1997,2,0.24
Yoane Wissa,cd COD,FW,Brentford,1996,5,0.27
Maximilian Wöber,at AUT,DF,Leeds United,1998,0,0.06
Chris Wood,nz NZL,FW,Newcastle Utd,1991,2,0.37
Chris Wood,nz NZL,FW,Nott'ham Forest,1991,1,0.23
Joe Worrall,eng ENG,DF,Nott'ham Forest,1997,1,0.03
Granit Xhaka,ch SUI,MF,Arsenal,1992,5,0.1
Ryan Yates,eng ENG,MF,Nott'ham Forest,1997,0,0.13
Ashley Young,eng ENG,DF,Aston Villa,1985,1,0.02
Illia Zabarnyi,ua UKR,DF,Bournemouth,2002,0,0
Wilfried Zaha,ci CIV,FWMF,Crystal Palace,1992,6,0.26
Denis Zakaria,ch SUI,MF,Chelsea,1996,0,0.04
Jordan Zemura,zw ZIM,DF,Bournemouth,1999,0,0.02
Oleksandr Zinchenko,ua UKR,DF,Arsenal,1996,1,0.06
Hakim Ziyech,ma MAR,FWMF,Chelsea,1993,0,0.08
Kurt Zouma,fr FRA,DF,West Ham,1994,2,0.1
Martin Ødegaard,no NOR,MF,Arsenal,1998,12,0.3
