Player,Nation,Pos,Squad,Born,Gls,xGp90
Conor Coady,eng ENG,DF,Everton,1993,1,0.04
Jack Colback,eng ENG,MF,Nott'ham Forest,1989,0,0
Séamus Coleman,ie IRL,DF,Everton,1988,1,0.02
Nathan Collins,ie IRL,DF,Wolves,2001,0,0.01
Levi Colwill,eng ENG,DF,Brighton,2003,0,0.07
Lewis Cook,eng ENG,MF,Bournemouth,1997,0,0.01
Steve Cook,eng ENG,DF,Nott'ham Forest,1991,0,0.01
Liam Cooper,sct SCO,DF,Leeds United,1991,1,0.07
Maxwel Cornet,ci CIV,FW,West Ham,1996,0,0.62
Diego Costa,es ESP,FW,Wolves,1988,1,0.25
Vladimír Coufal,cz CZE,DF,West Ham,1992,0,0.01
Philippe Coutinho,br BRA,MFFW,Aston Villa,1992,1,0.16
Conor Coventry,ie IRL,MFFW,West Ham,2000,0,0
Aaron Cresswell,eng ENG,DF,West Ham,1989,0,0.02
Marc Cucurella,es ESP,DF,Chelsea,1998,0,0.02
Matheus Cunha,br BRA,FW,Wolves,1999,2,0.19
Patson Daka,zm ZAM,FW,Leicester City,1998,4,0.29
Diogo Dalot,pt POR,DF,Manchester Utd,1999,1,0.12
Mikkel Damsgaard,dk DEN,MFFW,Brentford,2000,0,0.08
Danilo,br BRA,MF,Nott'ham Forest,2001,1,0.06
Arnaut Danjuma,nl NED,FWMF,Tottenham,1997,1,0.66
Josh Dasilva,eng ENG,MF,Brentford,1998,3,0.1
Ben Davies,wls WAL,DF,Tottenham,1993,2,0.05
Tom Davies,eng ENG,MF,Everton,1998,0,0.19
Craig Dawson,eng ENG,DF,West Ham,1990,0,0.06
Craig Dawson,eng ENG,DF,Wolves,1990,1,0.07
Kevin De Bruyne,be BEL,MF,Manchester City,1991,7,0.22
Siriki Dembélé,ci CIV,FWMF,Bournemouth,1996,0,0.15
Leander Dendoncker,be BEL,MF,Aston Villa,1995,0,0.01
Leander Dendoncker,be BEL,MF,Wolves,1995,0,0.27
Emmanuel Dennis,ng NGA,FWMF,Nott'ham Forest,1997,2,0.23
Halil Dervişoğlu,tr TUR,MF,Brentford,1999,0,0.31
Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,1998,2,0.09
Ibrahima Diallo,fr FRA,MF,Southampton,1999,0,0.02
Rúben Dias,pt POR,DF,Manchester City,1997,0,0.07
Luis Díaz,co COL,FW,Liverpool,1997,3,0.25
Eric Dier,eng ENG,DF,Tottenham,1994,2,0.04
Lucas Digne,fr FRA,DF,Aston Villa,1993,1,0.02
Issa Diop,fr FRA,DF,Fulham,1997,1,0.02
Moussa Djenepo,ml MLI,DFFW,Southampton,1998,0,0.02
Ben Doak,sct SCO,FW,Liverpool,2005,0,0
Matt Doherty,ie IRL,DFMF,Tottenham,1992,1,0.1
Gabriel Dos Santos,br BRA,DF,Arsenal,1997,3,0.14
Abdoulaye Doucouré,ml MLI,MF,Everton,1993,2,0.14
Cheick Doucouré,ml MLI,MF,Crystal Palace,2000,0,0.04
Flynn Downes,eng ENG,MF,West Ham,1999,0,0.08
Cody Drameh,eng ENG,DF,Leeds United,2001,0,0
Martin Dúbravka,sk SVK,GK,Newcastle Utd,1989,0,0
Shane Duffy,ie IRL,FWDF,Fulham,1992,0,0
Lewis Dunk,eng ENG,DF,Brighton,1991,1,0.05
Jhon Durán,co COL,FW,Aston Villa,2003,0,0.59
Malcolm Ebiowei,eng ENG,MFFW,Crystal Palace,2003,0,0
Ederson,br BRA,GK,Manchester City,1993,0,0
Odsonne Édouard,fr FRA,FW,Crystal Palace,1998,4,0.21
Samuel Edozie,eng ENG,FWMF,Southampton,2003,0,0.14
Anthony Elanga,se SWE,FW,Manchester Utd,2002,0,0.15
Harvey Elliott,eng ENG,MFFW,Liverpool,2003,1,0.11
Mohamed Elneny,eg EGY,MF,Arsenal,1992,0,0
Mohamed Elyounoussi,no NOR,MFFW,Southampton,1994,0,0.12
Emerson,br BRA,DF,Tottenham,1999,2,0.1
Christian Eriksen,dk DEN,MF,Manchester Utd,1992,1,0.2
Pervis Estupiñán,ec ECU,DF,Brighton,1998,0,0.04
Jonny Evans,nir NIR,DF,Leicester City,1988,0,0.02
Eberechi Eze,eng ENG,MFFW,Crystal Palace,1998,7,0.2
Łukasz Fabiański,pl POL,GK,West Ham,1985,0,0
Fabinho,br BRA,MF,Liverpool,1993,0,0.03
Wout Faes,be BEL,DF,Leicester City,1998,0,0.03
Felipe,br BRA,DF,Nott'ham Forest,1989,0,0.06
João Félix,pt POR,FWMF,Chelsea,1999,2,0.4
Evan Ferguson,ie IRL,FW,Brighton,2004,4,0.52
Bruno Fernandes,pt POR,MFFW,Manchester Utd,1994,5,0.2
Enzo Fernández,ar ARG,MF,Chelsea,2001,0,0.06
Roberto Firmino,br BRA,FWMF,Liverpool,1991,9,0.38
Junior Firpo,es ESP,DF,Leeds United,1996,1,0.01
Phil Foden,eng ENG,FW,Manchester City,2000,9,0.31
Datro Fofana,ci CIV,FW,Chelsea,2002,0,0.35
Wesley Fofana,fr FRA,DF,Leicester City,2000,0,0.06
Wesley Fofana,fr FRA,DF,Chelsea,2000,1,0.07
Pablo Fornals,es ESP,FWMF,West Ham,1996,2,0.14
Adam Forshaw,eng ENG,MF,Leeds United,1991,0,0
Fraser Forster,eng ENG,GK,Tottenham,1988,0,0
Tyrese Francois,au AUS,FW,Fulham,2000,0,0
Ryan Fraser,sct SCO,FW,Newcastle Utd,1994,0,0.09
Fred,br BRA,MF,Manchester Utd,1993,2,0.16
Ryan Fredericks,eng ENG,DF,Bournemouth,1992,0,0
Remo Freuler,ch SUI,MF,Nott'ham Forest,1992,0,0.02
Cody Gakpo,nl NED,FW,Liverpool,1999,6,0.35
Conor Gallagher,eng ENG,MFFW,Chelsea,2000,2,0.11
Idrissa Gana Gueye,sn SEN,MF,Everton,1989,0,0.01
Alejandro Garnacho,es ESP,FWMF,Manchester Utd,2004,2,0.32
James Garner,eng ENG,MF,Everton,2001,0,0.05
David de Gea,es ESP,GK,Manchester Utd,1990,0,0
Joe Gelhardt,eng ENG,FW,Leeds United,2002,0,0.36
Saman Ghoddos,ir IRN,MFDF,Brentford,1993,0,0.04
Morgan Gibbs-White,eng ENG,FWMF,Wolves,2000,0,0.36
Morgan Gibbs-White,eng ENG,MFFW,Nott'ham Forest,2000,4,0.17
Billy Gilmour,sct SCO,MF,Brighton,2001,0,0.12
Degnand Gnonto,it ITA,FWMF,Leeds United,2003,2,0.12
