Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
35,Thierno Balde,fr FRA,DF,Troyes,20-168,2002,8.8,0,0,0,0.23,1.48,0.11,2.16,1.14,0.68,0.11,0,0,6.25,0.11,0.23,33.3,Matches,3975195f
101,Maximiliano Caufriez,be BEL,DF,Clermont Foot,25-282,1997,8.8,0.45,0,0,1.02,1.02,0,0,1.82,1.02,0,0,0,5.57,1.14,0.8,58.8,Matches,c92c24f0
216,Amine Gouiri,fr FRA,FWMF,Rennes,22-282,2000,8.8,0.11,0,0,1.7,0.45,0.57,0.57,0.34,0.34,0,0,0,2.27,1.02,2.16,32.1,Matches,aad56ca3
217,Jonathan Gradit,fr FRA,DF,Lens,30-001,1992,8.8,0.23,0,0,1.36,1.48,0,0.34,1.25,1.14,0,0,0,4.09,1.36,1.7,44.4,Matches,06c48679
383,Sanjin Prcić,ba BIH,MF,Strasbourg,29-005,1993,8.8,0.11,0.11,0,0.91,1.02,0,2.16,1.36,0.57,0,0,0,8.52,0.91,0.23,80,Matches,51c30111
92,Mohamed Camara,ml MLI,MF,Monaco,22-323,2000,8.9,0.34,0.11,0,2.36,3.03,0,0.22,1.46,2.25,0,0,0,6.97,0.56,0.22,71.4,Matches,489e80e3
125,Nuno da Costa,cv CPV,FWMF,Auxerre,31-288,1991,8.9,0.34,0.11,0.11,1.46,2.58,0.22,0.34,1.01,1.24,0,0,0,2.92,1.8,1.8,50,Matches,909222de
127,Mathieu Coutadeur,fr FRA,MF,Ajaccio,36-250,1986,8.9,0,0,0,0.22,0.67,0,0.34,1.12,0.79,0,0,0,7.42,0.56,0.9,38.5,Matches,ef8ae23b
4,Laurent Abergel,fr FRA,MF,Lorient,29-297,1993,9,0.22,0,0,0.78,1,0,0.22,1.33,1.89,0,0,0,5.67,0.22,0.22,50,Matches,31626657
53,Wissam Ben Yedder,fr FRA,FW,Monaco,32-105,1990,9,0.11,0,0,0.67,1,0.56,1,0.33,0.33,0.11,0,0,2.89,0.44,1,30.8,Matches,942b4f90
111,Lucas Chevalier,fr FRA,GK,Lille,21-019,2001,9,0,0,0,0,0.22,0,0,0.11,0.11,0,0,0,1.33,0,0,,Matches,b3d76d84
184,Maxime Estève,fr FRA,DF,Montpellier,20-183,2002,9,0.33,0,0,1.33,0.33,0,0.11,2.67,0.89,0,0,0,4.78,1.78,1.22,59.3,Matches,1a066e69
353,Arnaud Nordin,fr FRA,FWMF,Montpellier,24-161,1998,9,0.22,0,0,0.89,2.33,0.11,2,0.44,0.22,0,0,0,3.67,0.56,2,21.7,Matches,7b9a9e25
359,Jonas Omlin,ch SUI,GK,Montpellier,28-319,1994,9,0,0.11,0,0.11,0.22,0,0,0,0,0,0,0,1.33,0.11,0,100,Matches,c631f952
395,Joe Rodon,wls WAL,DF,Rennes,25-034,1997,9,0.22,0.11,0,0.78,0.67,0,0,0.56,0.44,0,0,0,5,2.78,2.11,56.8,Matches,8d62d31a
279,Théo Le Bris,fr FRA,MFDF,Lorient,20-055,2002,9.1,0,0,0,0.22,0.11,0,1.1,1.43,1.43,0,0,0,4.84,0.88,0.88,50,Matches,afe39ca8
105,Fares Chaïbi,fr FRA,FWMF,Toulouse,19-362,2002,9.2,0.11,0,0,1.63,1.3,0.33,1.74,0.98,0.54,0,0,0,3.7,1.52,2.5,37.8,Matches,357103bd
286,Johann Lepenant,fr FRA,MF,Lyon,20-034,2002,9.2,0.11,0,0,1.3,0.87,0,0.33,1.41,1.63,0,0,0,8.7,1.09,1.3,45.5,Matches,1e52971c
344,Samuel Moutoussamy,cd COD,MF,Nantes,26-105,1996,9.2,0.43,0,0,1.41,0.76,0,0.33,0.98,1.52,0,0,0,4.78,0.54,1.3,29.4,Matches,af0c835b
428,Islam Slimani,dz ALG,FW,Brest,34-160,1988,9.2,0.43,0,0,1.63,1.09,0.76,0.76,0.11,0.22,0,0,0,1.74,2.17,2.17,50,Matches,ffec9769
30,Benoît Badiashile,fr FRA,DF,Monaco,21-244,2001,9.3,0.32,0,0,1.08,0.43,0,0,1.83,0.86,0,0,0,7.2,2.26,0.75,75,Matches,06df8256
339,Mostafa Mohamed,eg EGY,FW,Nantes,24-362,1997,9.3,0,0,0,1.61,1.51,0.65,0.54,0.22,0.43,0.11,0,0,2.37,3.44,4.41,43.8,Matches,595e6f3e
470,Vitinha,pt POR,MF,Paris S-G,22-285,2000,9.3,0.22,0,0,1.4,0.54,0,0.22,0.97,0.86,0,0,0,6.56,0.22,0,100,Matches,3b029691
