Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
75,Isaac Carcelen,es ESP,DF,Cádiz,29-216,1993,5,0,0.4,0,1.4,0.6,0,1.6,1,2.8,0,0.2,0,5.2,0.6,1.6,27.3,Matches,c4b888df
76,Juan Carlos,es ESP,GK,Girona,34-309,1988,10,0,0,0,0,0,0,0,0.1,0,0,0,0,1.6,0.1,0,100,Matches,688b96e3
80,Yannick Carrasco,be BEL,DFFW,Atlético Madrid,29-082,1993,8.2,0.12,0,0,1.34,0.73,0.24,3.78,0.49,1.22,0,0,0,4.39,0.24,0.12,66.7,Matches,de39485a
81,Dani Carvajal,es ESP,DF,Real Madrid,30-318,1992,9.7,0.31,0,0,1.03,0.82,0.31,2.06,1.13,0.93,0,0.1,0,5.67,0.41,0.52,44.4,Matches,4958bfb2
82,William Carvalho,pt POR,MF,Betis,30-232,1992,10.3,0.29,0,0,1.26,1.55,0.1,0.19,0.49,0.78,0,0,0,5.63,0.87,0.87,50,Matches,dee86451
85,Valentín Castellanos,ar ARG,FW,Girona,24-053,1998,12.4,0.32,0,0,1.21,1.69,1.37,0.24,0.32,0.24,0,0,0,2.02,1.05,2.42,30.2,Matches,da76bab4
86,Samu Castillejo,es ESP,FW,Valencia,27-311,1995,6.8,0.59,0,0,2.65,2.79,0.29,3.97,0.44,0.29,0,0,0,4.56,0.44,1.32,25,Matches,130a7a3f
87,Catena,es ESP,DF,Rayo Vallecano,28-028,1994,14,0.36,0,0,0.86,0.57,0.07,0.07,0.5,0.14,0,0,0,5,1.93,0.79,71.1,Matches,274ab13c
90,Franco Cervi,ar ARG,MF,Celta Vigo,28-183,1994,11.3,0,0.09,0,1.15,1.59,0.09,3.89,1.77,1.68,0,0,0,6.28,0.27,1.24,17.6,Matches,5e1028e5
93,Samuel Chukwueze,ng NGA,FWMF,Villarreal,23-187,1999,6,0.17,0,0,1,1.67,0.33,1.17,0.33,0.33,0,0,0,4.5,1,0.17,85.7,Matches,b8a642fc
94,Víctor Chust,es ESP,DF,Cádiz,22-265,2000,9.5,0.32,0,0,0.84,0.21,0.11,0,1.05,0.63,0,0.11,0,4.74,1.68,1.58,51.6,Matches,ec1a731e
95,Pathé Ciss,sn SEN,MFDF,Rayo Vallecano,28-254,1994,7.1,0.42,0,0,2.54,1.13,0,0,1.69,2.54,0,0,0,6.9,1.69,1.41,54.5,Matches,9a0408b6
96,Carlos Clerc,es ESP,DF,Elche,30-277,1992,9.6,0.1,0,0,0.83,0.73,0.1,2.71,0.73,1.56,0,0,0,3.85,0.52,0.42,55.6,Matches,33a61a52
97,Álex Collado,es ESP,MFFW,Elche,23-217,1999,5.7,0,0,0,1.23,1.05,0.18,1.75,0.18,1.93,0,0,0,4.04,0.7,0.88,44.4,Matches,85dace26
98,Eray Cömert,ch SUI,DF,Valencia,24-294,1998,9.7,0.31,0.1,0,1.65,0.93,0,0.1,1.24,0.72,0,0,0,6.8,2.99,1.96,60.4,Matches,1.59E+21
99,Santi Comesaña,es ESP,MF,Rayo Vallecano,26-051,1996,8.1,0.25,0,0,2.1,1.23,0.12,0.62,1.36,1.73,0,0,0,6.67,1.23,1.98,38.5,Matches,5ae499d0
100,Copete,es ESP,DF,Mallorca,23-046,1999,11.1,0.27,0,0,1.62,1.17,0.09,0.27,2.25,1.44,0,0.09,0,4.68,1.08,0.72,60,Matches,0f26ffd7
101,Francis Coquelin,fr FRA,MF,Villarreal,31-196,1991,5.8,0.34,0,0,1.03,0.86,0,0.69,1.03,1.55,0,0,0,4.66,1.03,0.52,66.7,Matches,a6951bf8
103,Ángel Correa,ar ARG,FWMF,Atlético Madrid,27-261,1995,5.7,0.18,0,0,1.58,1.23,0.53,2.46,1.23,0.35,0,0,0,3.16,0.18,0.88,16.7,Matches,01eb744d
104,Thierry Correia,pt POR,DF,Valencia,23-261,1999,13.5,0.22,0,0,1.7,2.22,0,3.41,1.19,1.63,0.07,0,0,6.15,0.96,1.11,46.4,Matches,c78b352d
105,Jaume Costa,es ESP,DF,Mallorca,34-252,1988,10.7,0.37,0,0,1.21,1.59,0.09,2.62,0.37,1.03,0,0,0,4.58,0.93,0.93,50,Matches,808d48f3
106,Samu Costa,pt POR,MF,Almería,21-363,2000,8.5,0.35,0,0,2.59,1.76,0.24,0.24,1.53,1.06,0,0,0,6.24,0.94,0.71,57.1,Matches,76c2a023
107,Thibaut Courtois,be BEL,GK,Real Madrid,30-198,1992,10,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.2,0,100,Matches,1840e36d
108,Yan Couto,br BRA,DFFW,Girona,20-175,2002,5.6,0.18,0,0,0.89,0.89,0,4.82,0.54,1.61,0,0,0,7.32,0.18,0.54,25,Matches,1944818c
109,Juan Cruz Armada,es ESP,DF,Osasuna,30-120,1992,11.2,0.36,0,0,0.8,0.27,0.09,1.96,0.54,0.71,0,0,0,4.02,0.45,0.71,38.5,Matches,a56da3ba
115,Sergi Darder,es ESP,MF,Espanyol,28-338,1993,13.7,0.15,0,0,0.88,2.12,0,5.84,0.95,0.95,0,0,0,5.04,0.07,0.22,25,Matches,070a3904
116,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,28-185,1994,7.4,0.27,0,0,1.22,2.57,0,2.84,0.27,0.14,0,0,0,4.19,0.27,0.54,33.3,Matches,162efffd
120,Ousmane Dembélé,fr FRA,FW,Barcelona,25-194,1997,9.6,0.31,0,0,1.15,0.73,0.31,6.04,0,0.94,0,0,0,3.13,0.21,0.63,25,Matches,b19db005
122,Mouctar Diakhaby,gn GUI,DF,Valencia,25-341,1996,8.8,0.57,0.11,0.11,1.02,0.34,0,0,0.8,0.91,0,0,0,5,1.14,1.93,37,Matches,d2110326
124,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,28-335,1993,13,0.23,0,0,0,0.08,0,0,0,0,0,0,0,1,0.08,0,100,Matches,fc70e345
126,Djené,tg TOG,DF,Getafe,30-329,1991,11.1,0.36,0,0,1.44,1.35,0.09,0.27,1.08,0.45,0,0.09,0,6.31,1.17,0.63,65,Matches,a4971d84
131,Domingos Duarte,pt POR,DF,Getafe,27-260,1995,12.5,0.4,0,0,1.04,0.88,0,0,1.44,0.56,0,0,0.08,2.88,1.6,0.64,71.4,Matches,93090f69
134,Íñigo Eguaras,es ESP,MF,Almería,30-263,1992,5.5,0.36,0,0,0.55,0.55,0,0.36,0.73,1.09,0,0,0,6.91,0.36,0.18,66.7,Matches,3e93f8cf
135,Aritz Elustondo,es ESP,DF,Real Sociedad,28-242,1994,6.9,0.43,0.14,0,1.74,0.72,0,0.43,1.3,1.3,0,0,0,3.77,1.74,2.17,44.4,Matches,f7dc2ae5
136,Rodrigo Ely,br BRA,DF,Almería,29-022,1993,13.7,0.29,0.07,0.07,0.73,0.29,0.15,0,1.17,0.51,0,0,0,4.01,2.41,0.66,78.6,Matches,fd47b4f2
140,Sergio Escudero,es ESP,DF,Valladolid,33-084,1989,7.9,0.25,0,0,1.14,1.01,0.13,2.91,1.27,1.9,0,0,0,5.82,1.65,1.39,54.2,Matches,b0616e3d
141,Alfonso Espino,uy URU,DF,Cádiz,30-324,1992,12.7,0.24,0,0,1.65,0.79,0,1.81,0.94,1.81,0,0.16,0,6.54,0.55,1.1,33.3,Matches,db001fa9
142,Bernardo Espinosa,co COL,DF,Girona,33-137,1989,5.5,0.36,0,0,0.91,0.91,0,0,0.55,0,0,0.18,0,6,4.55,1.27,78.1,Matches,4242011c
143,Edu Expósito,es ESP,MF,Espanyol,26-116,1996,8.6,0,0,0,1.28,1.74,0,2.56,1.05,1.74,0,0,0,5.47,0.93,1.05,47.1,Matches,283c7121
