Player,Nation,Pos,Squad,Age,Born,Gls,xGp90
Liam Cooper,sct SCO,DF,Leeds United,31-240,1991,1,0.07
Maxwel Cornet,ci CIV,FW,West Ham,26-212,1996,0,0.62
Diego Costa,es ESP,FW,Wolves,34-202,1988,1,0.25
Vladimír Coufal,cz CZE,DF,West Ham,30-248,1992,0,0.01
Philippe Coutinho,br BRA,MFFW,Aston Villa,30-319,1992,1,0.16
Conor Coventry,ie IRL,MFFW,West Ham,23-033,2000,0,0
Aaron Cresswell,eng ENG,DF,West Ham,33-133,1989,0,0.02
Marc Cucurella,es ESP,DF,Chelsea,24-279,1998,0,0.02
Matheus Cunha,br BRA,FW,Wolves,23-335,1999,2,0.19
Patson Daka,zm ZAM,FW,Leicester City,24-200,1998,4,0.29
Diogo Dalot,pt POR,DF,Manchester Utd,24-040,1999,1,0.12
Mikkel Damsgaard,dk DEN,MFFW,Brentford,22-298,2000,0,0.08
Danilo,br BRA,MF,Nott'ham Forest,21-363,2001,1,0.06
Arnaut Danjuma,nl NED,FWMF,Tottenham,26-086,1997,1,0.66
Josh Dasilva,eng ENG,MF,Brentford,24-186,1998,3,0.1
Ben Davies,wls WAL,DF,Tottenham,30-003,1993,2,0.05
Tom Davies,eng ENG,MF,Everton,24-301,1998,0,0.19
Craig Dawson,eng ENG,DF,West Ham,32-356,1990,0,0.06
Craig Dawson,eng ENG,DF,Wolves,32-356,1990,1,0.07
Kevin De Bruyne,be BEL,MF,Manchester City,31-303,1991,7,0.22
Siriki Dembélé,ci CIV,FWMF,Bournemouth,26-232,1996,0,0.15
Leander Dendoncker,be BEL,MF,Aston Villa,28-012,1995,0,0.01
Leander Dendoncker,be BEL,MF,Wolves,28-012,1995,0,0.27
Emmanuel Dennis,ng NGA,FWMF,Nott'ham Forest,25-163,1997,2,0.23
Halil Dervişoğlu,tr TUR,MF,Brentford,23-140,1999,0,0.31
Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,24-233,1998,2,0.09
Ibrahima Diallo,fr FRA,MF,Southampton,24-050,1999,0,0.02
Rúben Dias,pt POR,DF,Manchester City,25-348,1997,0,0.07
Luis Díaz,co COL,FW,Liverpool,26-104,1997,3,0.25
Eric Dier,eng ENG,DF,Tottenham,29-102,1994,2,0.04
Lucas Digne,fr FRA,DF,Aston Villa,29-281,1993,1,0.02
Issa Diop,fr FRA,DF,Fulham,26-108,1997,1,0.02
Moussa Djenepo,ml MLI,DFFW,Southampton,24-316,1998,0,0.02
Ben Doak,sct SCO,FW,Liverpool,17-167,2005,0,0
Matt Doherty,ie IRL,DFMF,Tottenham,31-101,1992,1,0.1
Gabriel Dos Santos,br BRA,DF,Arsenal,25-129,1997,3,0.14
Abdoulaye Doucouré,ml MLI,MF,Everton,30-116,1993,2,0.14
Cheick Doucouré,ml MLI,MF,Crystal Palace,23-109,2000,0,0.04
Flynn Downes,eng ENG,MF,West Ham,24-097,1999,0,0.08
Cody Drameh,eng ENG,DF,Leeds United,21-140,2001,0,0
Martin Dúbravka,sk SVK,GK,Newcastle Utd,34-102,1989,0,0
Shane Duffy,ie IRL,FWDF,Fulham,31-116,1992,0,0
Lewis Dunk,eng ENG,DF,Brighton,31-157,1991,1,0.05
Jhon Durán,co COL,FW,Aston Villa,19-135,2003,0,0.59
Malcolm Ebiowei,eng ENG,MFFW,Crystal Palace,19-235,2003,0,0
Ederson,br BRA,GK,Manchester City,29-253,1993,0,0
Odsonne Édouard,fr FRA,FW,Crystal Palace,25-101,1998,4,0.21
Samuel Edozie,eng ENG,FWMF,Southampton,20-089,2003,0,0.14
Anthony Elanga,se SWE,FW,Manchester Utd,21-000,2002,0,0.15
Harvey Elliott,eng ENG,MFFW,Liverpool,20-023,2003,1,0.11
Mohamed Elneny,eg EGY,MF,Arsenal,30-290,1992,0,0
Mohamed Elyounoussi,no NOR,MFFW,Southampton,28-266,1994,0,0.12
Emerson,br BRA,DF,Tottenham,24-103,1999,2,0.1
Christian Eriksen,dk DEN,MF,Manchester Utd,31-072,1992,1,0.2
Pervis Estupiñán,ec ECU,DF,Brighton,25-096,1998,0,0.04
Jonny Evans,nir NIR,DF,Leicester City,35-114,1988,0,0.02
Eberechi Eze,eng ENG,MFFW,Crystal Palace,24-302,1998,7,0.2
Łukasz Fabiański,pl POL,GK,West Ham,38-009,1985,0,0
Fabinho,br BRA,MF,Liverpool,29-186,1993,0,0.03
Wout Faes,be BEL,DF,Leicester City,25-024,1998,0,0.03
Felipe,br BRA,DF,Nott'ham Forest,33-346,1989,0,0.06
João Félix,pt POR,FWMF,Chelsea,23-168,1999,2,0.4
Evan Ferguson,ie IRL,FW,Brighton,18-190,2004,4,0.52
Bruno Fernandes,pt POR,MFFW,Manchester Utd,28-231,1994,5,0.2
Enzo Fernández,ar ARG,MF,Chelsea,22-100,2001,0,0.06
Roberto Firmino,br BRA,FWMF,Liverpool,31-207,1991,9,0.38
Junior Firpo,es ESP,DF,Leeds United,26-248,1996,1,0.01
Phil Foden,eng ENG,FW,Manchester City,22-334,2000,9,0.31
Datro Fofana,ci CIV,FW,Chelsea,20-126,2002,0,0.35
Wesley Fofana,fr FRA,DF,Leicester City,22-131,2000,0,0.06
Wesley Fofana,fr FRA,DF,Chelsea,22-131,2000,1,0.07
Pablo Fornals,es ESP,FWMF,West Ham,27-064,1996,2,0.14
Adam Forshaw,eng ENG,MF,Leeds United,31-201,1991,0,0
Fraser Forster,eng ENG,GK,Tottenham,35-041,1988,0,0
Tyrese Francois,au AUS,FW,Fulham,22-285,2000,0,0
Ryan Fraser,sct SCO,FW,Newcastle Utd,29-062,1994,0,0.09
Fred,br BRA,MF,Manchester Utd,30-053,1993,2,0.16
Ryan Fredericks,eng ENG,DF,Bournemouth,30-199,1992,0,0
Remo Freuler,ch SUI,MF,Nott'ham Forest,31-012,1992,0,0.02
Cody Gakpo,nl NED,FW,Liverpool,23-355,1999,6,0.35
Conor Gallagher,eng ENG,MFFW,Chelsea,23-080,2000,2,0.11
Idrissa Gana Gueye,sn SEN,MF,Everton,33-213,1989,0,0.01
Alejandro Garnacho,es ESP,FWMF,Manchester Utd,18-300,2004,2,0.32
James Garner,eng ENG,MF,Everton,22-045,2001,0,0.05
David de Gea,es ESP,GK,Manchester Utd,32-171,1990,0,0
Joe Gelhardt,eng ENG,FW,Leeds United,20-358,2002,0,0.36
Saman Ghoddos,ir IRN,MFDF,Brentford,29-233,1993,0,0.04
Morgan Gibbs-White,eng ENG,FWMF,Wolves,23-090,2000,0,0.36
Morgan Gibbs-White,eng ENG,MFFW,Nott'ham Forest,23-090,2000,4,0.17
Billy Gilmour,sct SCO,MF,Brighton,21-320,2001,0,0.12
Degnand Gnonto,it ITA,FWMF,Leeds United,19-173,2003,2,0.12
Ben Godfrey,eng ENG,DF,Everton,25-102,1998,0,0.16
João Gomes,br BRA,MFFW,Wolves,22-074,2001,1,0.05
Toti Gomes,pt POR,DF,Wolves,24-101,1999,0,0.02
Joe Gomez,eng ENG,DF,Liverpool,25-339,1997,0,0.01
Sergio Gómez,es ESP,DFMF,Manchester City,22-235,2000,0,0.13
Anthony Gordon,eng ENG,FWMF,Newcastle Utd,22-062,2001,0,0.17
Anthony Gordon,eng ENG,FW,Everton,22-062,2001,3,0.27
Demarai Gray,eng ENG,FWMF,Everton,26-303,1996,4,0.21
Jack Grealish,eng ENG,FW,Manchester City,27-229,1995,5,0.2
Sam Greenwood,eng ENG,MFFW,Leeds United,21-091,2002,1,0.17
Pascal Groß,de GER,MFDF,Brighton,31-316,1991,6,0.15
Vicente Guaita,es ESP,GK,Crystal Palace,36-107,1987,0,0
Gonçalo Guedes,pt POR,FWMF,Wolves,26-149,1996,1,0.15
Marc Guéhi,eng ENG,DF,Crystal Palace,22-288,2000,1,0.03
Bruno Guimarães,br BRA,MF,Newcastle Utd,25-162,1997,3,0.07
İlkay Gündoğan,de GER,MF,Manchester City,32-185,1990,4,0.26
Darko Gyabi,eng ENG,FW,Leeds United,19-068,2004,0,0.72
Erling Haaland,no NOR,FW,Manchester City,22-280,2000,33,0.93
Lewis Hall,eng ENG,DFMF,Chelsea,18-231,2004,0,0.14
Luke Harris,wls WAL,MFFW,Fulham,18-024,2005,0,0
Jack Harrison,eng ENG,FWMF,Leeds United,26-158,1996,4,0.17
Kai Havertz,de GER,FWMF,Chelsea,23-320,1999,7,0.42
Jan Paul van Hecke,nl NED,DF,Brighton,22-323,2000,0,0.61
Hwang Hee-chan,kr KOR,FWMF,Wolves,27-091,1996,2,0.17
Dean Henderson,eng ENG,GK,Nott'ham Forest,26-046,1997,0,0
Jordan Henderson,eng ENG,MF,Liverpool,32-314,1990,0,0.06
Wayne Hennessey,wls WAL,GK,Nott'ham Forest,36-093,1987,0,0
Rico Henry,eng ENG,DF,Brentford,25-293,1997,0,0.05
Son Heung-min,kr KOR,MFFW,Tottenham,30-293,1992,8,0.28
Aaron Hickey,sct SCO,DF,Brentford,20-321,2002,0,0.02
Joseph Hodge,ie IRL,MF,Wolves,20-225,2002,0,0.06
Rob Holding,eng ENG,DF,Arsenal,27-219,1995,1,0.05
Mason Holgate,eng ENG,DF,Everton,26-187,1996,0,0.06
Will Hughes,eng ENG,MF,Crystal Palace,28-010,1995,0,0.03
Omari Hutchinson,eng ENG,FW,Chelsea,19-179,2003,0,0
Pierre Højbjerg,dk DEN,MF,Tottenham,27-265,1995,4,0.05
Kelechi Iheanacho,ng NGA,FWMF,Leicester City,26-206,1996,5,0.62
Danny Ings,eng ENG,FW,West Ham,30-278,1992,2,0.37
Danny Ings,eng ENG,FW,Aston Villa,30-278,1992,6,0.59
Alexander Isak,se SWE,FW,Newcastle Utd,23-218,1999,10,0.66
Daniel Iversen,dk DEN,GK,Leicester City,25-282,1997,0,0
Alex Iwobi,ng NGA,MFFW,Everton,26-359,1996,1,0.06
Daniel James,wls WAL,FW,Leeds United,25-168,1997,0,0.12
Daniel James,wls WAL,FW,Fulham,25-168,1997,2,0.26
Reece James,eng ENG,DFMF,Chelsea,23-140,1999,1,0.07
Vitaly Janelt,de GER,MFDF,Brentford,24-352,1998,3,0.11
Pontus Jansson,se SWE,DF,Brentford,32-073,1991,1,0.04
Mathias Jensen,dk DEN,MF,Brentford,27-116,1996,5,0.07
Gabriel Jesus,br BRA,FW,Arsenal,26-024,1997,9,0.71
Raúl Jiménez,mx MEX,FW,Wolves,31-357,1991,0,0.31
Joelinton,br BRA,MFFW,Newcastle Utd,26-256,1996,5,0.26
Ben Johnson,eng ENG,DF,West Ham,23-093,2000,0,0
Brennan Johnson,wls WAL,FWMF,Nott'ham Forest,21-339,2001,8,0.29
Sam Johnstone,eng ENG,GK,Crystal Palace,30-033,1993,0,0
Curtis Jones,eng ENG,MF,Liverpool,22-087,2001,0,0.05
Jorginho,it ITA,MF,Arsenal,31-128,1991,0,0.02
Jorginho,it ITA,MF,Chelsea,31-128,1991,2,0.12
Mateo Joseph,eng ENG,FWMF,Leeds United,19-190,2003,0,0.4
Diogo Jota,pt POR,FW,Liverpool,26-144,1996,4,0.51
Hamed Junior Traorè,ci CIV,FWMF,Bournemouth,23-070,2000,0,0.19
James Justin,eng ENG,DF,Leicester City,25-063,1998,0,0.02
Mathias Jørgensen,dk DEN,DF,Brentford,33-004,1990,0,0.08
Sasa Kalajdzic,at AUT,FW,Wolves,25-294,1997,0,0.53
Boubacar Kamara,fr FRA,MF,Aston Villa,23-155,1999,0,0.01
Harry Kane,eng ENG,FW,Tottenham,29-273,1993,24,0.58
N'Golo Kanté,fr FRA,MF,Chelsea,32-029,1991,0,0.07
Michael Keane,eng ENG,DF,Everton,30-106,1993,1,0.11
Neeskens Kebano,cd COD,FW,Fulham,31-048,1992,0,0.06
Thilo Kehrer,de GER,DF,West Ham,26-218,1996,0,0.02
Naby Keïta,gn GUI,MF,Liverpool,28-076,1995,0,0.2
Lloyd Kelly,eng ENG,DF,Bournemouth,24-203,1998,0,0.01
Max Kilman,eng ENG,DF,Wolves,25-339,1997,0,0.04
Jakub Kiwior,pl POL,DF,Arsenal,23-071,2000,0,0
Mateusz Klich,pl POL,MFFW,Leeds United,32-318,1990,0,0.05
Robin Koch,de GER,DF,Leeds United,26-284,1996,0,0.03
Ibrahima Konaté,fr FRA,DF,Liverpool,23-337,1999,0,0.09
Ezri Konsa,eng ENG,DF,Aston Villa,25-186,1997,0,0.03
Kalidou Koulibaly,sn SEN,DF,Chelsea,31-311,1991,2,0.05
Cheikhou Kouyaté,sn SEN,MF,Nott'ham Forest,33-127,1989,1,0.04
Mateo Kovačić,hr CRO,MF,Chelsea,28-356,1994,1,0.1
Emil Krafth,se SWE,DF,Newcastle Utd,28-268,1994,0,0
Dejan Kulusevski,se SWE,MFFW,Tottenham,23-002,2000,2,0.1
Layvin Kurzawa,fr FRA,DF,Fulham,30-235,1992,0,0
Adam Lallana,eng ENG,MFFW,Brighton,34-352,1988,2,0.11
Tariq Lamptey,gh GHA,DF,Brighton,22-209,2000,0,0.04
Manuel Lanzini,ar ARG,MFFW,West Ham,30-071,1993,0,0.03
Aymeric Laporte,es ESP,DF,Manchester City,28-335,1994,0,0.05
Juan Larios,es ESP,DF,Southampton,19-105,2004,0,0
Jamaal Lascelles,eng ENG,DF,Newcastle Utd,29-167,1993,0,0.04
Roméo Lavia,be BEL,MF,Southampton,19-111,2004,1,0.02
Dexter Lembikisa,jm JAM,DF,Wolves,19-174,2003,0,0
Mario Lemina,ga GAB,MF,Wolves,29-238,1993,0,0.03
Clément Lenglet,fr FRA,DF,Tottenham,27-314,1995,0,0.05
Bernd Leno,de GER,GK,Fulham,31-054,1992,0,0
Jefferson Lerma,co COL,MF,Bournemouth,28-184,1994,3,0.07
Jamal Lewis,nir NIR,DF,Newcastle Utd,25-092,1998,0,0
