Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
198,Ansgar Knauff,de GER,DF,Eint Frankfurt,20-319,2002,7.1,0,0,0,0.7,1.41,0.14,0.99,1.27,1.27,0.14,0,0,6.06,0.42,1.13,27.3,Matches,19a967ab
262,Stanley N'Soki,fr FRA,DF,Hoffenheim,23-230,1999,7.1,0.14,0,0,0.99,0.99,0,0,1.69,0.56,0,0.14,0,7.46,1.55,0.99,61.1,Matches,61590953
320,Marco Reus,de GER,MF,Dortmund,33-178,1989,7.1,0.28,0,0,1.27,1.41,0.28,1.41,0.28,1.41,0,0,0,3.24,0.56,1.55,26.7,Matches,36a3ff67
100,Philipp Förster,de GER,MF,Bochum,27-294,1995,7.2,0.14,0,0,1.25,0.97,0,4.17,0.28,1.94,0,0,0,6.11,0.69,0.56,55.6,Matches,76fa965f
375,Niklas Stark,de GER,DF,Werder Bremen,27-225,1995,7.2,0.42,0,0,1.39,0.56,0.14,0,1.53,1.94,0,0,0,5,1.67,1.81,48,Matches,aad48be9
421,Timo Werner,de GER,FW,RB Leipzig,26-264,1996,7.2,0.14,0,0,0.56,0.56,0.69,1.81,0.14,0.28,0,0,0,2.08,0.28,0.56,33.3,Matches,49fe9070
114,Niko Gießelmann,de GER,DF,Union Berlin,31-060,1991,7.3,0.27,0,0,0.96,1.23,0,6.44,0.41,0.14,0,0,0,3.7,1.51,1.37,52.4,Matches,7242b495
25,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,22-326,2000,7.4,0.27,0,0,1.22,0.68,0.14,0.41,1.35,1.22,0,0,0,5.68,1.62,1.35,54.5,Matches,00242b75
181,Felix Kalu Nmecha,de GER,MFFW,Wolfsburg,22-046,2000,7.4,0.27,0,0,1.62,2.43,0.14,0.27,1.08,0.95,0.14,0,0,4.19,2.03,1.76,53.6,Matches,091c86e2
357,Mohamed Simakan,fr FRA,DF,RB Leipzig,22-206,2000,7.4,0,0,0,1.35,1.49,0.14,0.54,1.08,0.68,0,0,0,5.27,1.62,1.22,57.1,Matches,fcb27134
142,Marcel Halstenberg,de GER,DF,RB Leipzig,31-059,1991,7.5,0,0,0,0.93,0.53,0,1.2,0.67,1.47,0.13,0,0,4.13,1.47,1.2,55,Matches,8ff2354e
235,Donyell Malen,nl NED,FW,Dortmund,23-310,1999,7.5,0,0,0,0.67,1.87,0.27,4.8,0.27,0.27,0.13,0,0,3.07,0.4,0.4,50,Matches,864163f3
326,Agustín Rogel,uy URU,DF,Hertha BSC,25-039,1997,7.5,0.53,0,0,1.47,0.53,0.13,0,1.2,0.8,0,0,0,3.6,2.4,2,54.5,Matches,ea42c03f
238,Omar Marmoush,eg EGY,FWMF,Wolfsburg,23-291,1999,7.6,0.26,0,0,1.58,2.37,0.13,1.32,0.66,0.66,0,0,0,5.79,3.68,3.16,53.8,Matches,0e0102eb
378,Lars Stindl,de GER,FWMF,M'Gladbach,34-091,1988,7.6,0.53,0,0,1.58,1.05,0.53,1.32,0.53,0.26,0,0,0,3.55,0.53,1.58,25,Matches,7cd6badb
87,Ondrej Duda,sk SVK,MF,Köln,27-355,1994,7.7,0.52,0,0,2.08,2.34,0.13,1.56,0.26,1.04,0,0,0,5.58,0.65,1.43,31.3,Matches,79ca3e23
242,Henning Matriciani,de GER,DF,Schalke 04,22-256,2000,7.7,0,0,0,0.91,0.39,0,0.39,1.04,1.17,0,0,0,5.45,2.08,1.3,61.5,Matches,ab3f1bdf
252,Tobias Mohr,de GER,DFMF,Schalke 04,27-093,1995,7.7,0,0,0,0.52,0.39,0,8.31,1.04,0.52,0,0,0,5.97,0.78,1.17,40,Matches,9ec9c8b6
297,Mads Pedersen,dk DEN,DFMF,Augsburg,26-085,1996,7.7,0.13,0,0,1.04,1.04,0,3.51,1.43,1.17,0,0,0,5.06,0.65,1.43,31.3,Matches,582a5247
113,Yannick Gerhardt,de GER,MF,Wolfsburg,28-257,1994,7.8,0.13,0,0,1.03,0.9,0.13,0.64,0.38,0.64,0,0,0,5.26,0.77,2.18,26.1,Matches,62ab9184
119,Leon Goretzka,de GER,MF,Bayern Munich,27-292,1995,7.8,0.13,0,0,1.28,0.9,0.13,0.26,0.9,1.67,0,0,0,8.33,2.31,0.64,78.3,Matches,cc86b9a3
340,András Schäfer,hu HUN,MF,Union Berlin,23-226,1999,7.8,0,0,0,1.54,1.54,0.13,0.64,0.51,1.03,0,0,0,6.28,1.15,1.54,42.9,Matches,049751d7
81,Junior Dina Ebimbe,fr FRA,DFMF,Eint Frankfurt,22-004,2000,7.9,0.13,0,0,1.52,1.27,0.25,0.51,0.89,1.77,0,0,0,6.2,1.01,0.76,57.1,Matches,95bb6ddc
128,Ilia Gruev,bg BUL,MF,Werder Bremen,22-203,2000,7.9,0.13,0,0,2.41,0.51,0,0.76,1.27,1.27,0,0,0,7.34,0.76,0.63,54.5,Matches,1fc4f3d1
40,Janis Blaswich,de GER,GK,RB Leipzig,31-207,1991,8,0,0,0,0,0.13,0,0,0,0,0,0,0,1.75,0.63,0,100,Matches,663e080e
185,Kevin Kampl,si SVN,MF,RB Leipzig,32-047,1990,8,0.5,0,0,1.38,0.5,0,0.38,1.25,1.25,0,0,0,7.25,0.38,1.38,21.4,Matches,b825a650
241,Erhan Mašović,rs SRB,DF,Bochum,24-003,1998,8,0,0,0,0.75,0.25,0,0.13,0.63,1.5,0,0.13,0.13,6.5,1.75,1.63,51.9,Matches,a396fb61
251,Anthony Modeste,fr FRA,FW,Dortmund,34-225,1988,8,0.38,0,0,1.25,0.63,0.75,0.25,0.25,0.5,0,0,0,1.88,3,3.75,44.4,Matches,34e4343c
394,Steffen Tigges,de GER,FW,Köln,24-117,1998,8,0,0,0,0.5,0.5,0.63,0.88,0.38,0.38,0,0,0,1.75,4.13,4.63,47.1,Matches,6b8887c2
395,Tiago Tomás,pt POR,FWMF,Stuttgart,20-162,2002,8,0.13,0,0,0.88,2,0.25,1.63,0,0.5,0,0,0,3,0.25,1.38,15.4,Matches,b492126a
44,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,23-248,1999,8.1,0.37,0,0,0.86,0,0,0.25,1.36,0.37,0,0,0,5.31,1.6,1.11,59.1,Matches,01834aa0
85,Dominick Drexler,de GER,MFFW,Schalke 04,32-183,1990,8.1,0.25,0.12,0,1.98,1.6,0,2.1,0.25,1.11,0,0,0,4.69,1.48,1.6,48,Matches,809940aa
157,Gerrit Holtmann,ph PHI,FWMF,Bochum,27-245,1995,8.2,0,0,0,0.73,0.61,0.37,5.73,0.24,0.73,0,0,0,5.73,1.46,1.83,44.4,Matches,2979c05a
283,Thomas Ouwejan,nl NED,DF,Schalke 04,26-056,1996,8.2,0.12,0,0,0.49,0.61,0.12,10.2,1.46,0.85,0,0.12,0,6.46,0,0.73,0,Matches,36d9dabe
22,Mitchel Bakker,nl NED,MFDF,Leverkusen,22-158,2000,8.5,0.35,0.12,0.12,1.06,0.82,0,1.29,0.71,0.59,0,0,0,6.94,0.82,0.59,58.3,Matches,a8567629
137,Joško Gvardiol,hr CRO,DF,RB Leipzig,20-306,2002,8.5,0,0,0,0.47,1.06,0,0.12,0.94,0.47,0,0,0.12,5.29,1.18,1.06,52.6,Matches,5ad50391
227,Matthijs de Ligt,nl NED,DF,Bayern Munich,23-105,1999,8.5,0.24,0,0,1.18,0.35,0.12,0,0.94,0.71,0,0.12,0,5.88,3.06,2.12,59.1,Matches,d6e53a3a
